ingredient,category,risk_level,health_effect
leavening (sodium aluminum phosphate,unknown,unknown,unknown
citric acid acid,unknown,unknown,unknown
soy lecithin-an emulsifier,unknown,unknown,unknown
anhydrous milk fat,unknown,unknown,unknown
organic ground cinnamon,unknown,unknown,unknown
white distilled,unknown,unknown,unknown
mini pretzel (enriched wheat flour [wheat flo,unknown,unknown,unknown
artific,unknown,unknown,unknown
vegetable shortening (partially hydrogenated soybean and/or cottonseed oils). contains 2% or less of: leavening (baking soda,unknown,unknown,unknown
soy sauce(water,unknown,unknown,unknown
salt. safflower and/or sunflower oil.,unknown,unknown,unknown
soy lecithin [as an emulsifier],unknown,unknown,unknown
vitamin mix (niacinamide,unknown,unknown,unknown
acidifiant : acide citrique e330,unknown,unknown,unknown
leaveni,unknown,unknown,unknown
butter ( cream,unknown,unknown,unknown
cornflour,unknown,unknown,unknown
rye chops,unknown,unknown,unknown
organic semi-sweet chocolate chips (organic sugar,unknown,unknown,unknown
caramelized sugar.,unknown,unknown,unknown
peanut butter chips,unknown,unknown,unknown
cream cheese (pasteurized milk and cream,unknown,unknown,unknown
natural flavors.,unknown,unknown,unknown
raisins (usa),unknown,unknown,unknown
blue 1)],unknown,unknown,unknown
sodium nitrite.,unknown,unknown,unknown
grape concentrate,unknown,unknown,unknown
organic wheat gluten,unknown,unknown,unknown
artificial flavours,unknown,unknown,unknown
barley malt powder,unknown,unknown,unknown
sodium alginate,unknown,unknown,unknown
fried shallot kaffirlime leaf powder,unknown,unknown,unknown
salt,unknown,unknown,unknown
cane molasses),unknown,unknown,unknown
red chili seasoning (spice,unknown,unknown,unknown
leavening(ammonium bicarbonate,unknown,unknown,unknown
snow crabmeat,unknown,unknown,unknown
vanilla granola (rolled oats,unknown,unknown,unknown
copper gluconate,unknown,unknown,unknown
garlic pepper,unknown,unknown,unknown
yogurt flavored raisins (yogurt coating [sugar partially hydrogenated palm kernel oil,unknown,unknown,unknown
mozzarella cheese (pasteurized whole milk,unknown,unknown,unknown
natural flower).,unknown,unknown,unknown
chocolat au lait 11% (sucre,unknown,unknown,unknown
potassium carbonate,unknown,unknown,unknown
glycerin,cosmetic,safe,skin hydration
organic whole grain spelt flour,unknown,unknown,unknown
fd&c red 40 & blue 1],unknown,unknown,unknown
crab mix (crabmeat,unknown,unknown,unknown
dextrin,unknown,unknown,unknown
stevia,unknown,unknown,unknown
dry roasted almonds.,unknown,unknown,unknown
_walnuts_ (2.6%),unknown,unknown,unknown
dairy whey (milk),unknown,unknown,unknown
emulsifier: sunflower lecithins; powdered eggs,unknown,unknown,unknown
sodium nitrate). wheat flour,unknown,unknown,unknown
contains 2% or less of: baking soda,unknown,unknown,unknown
yogurt powder {cultured whey protein concentrate,unknown,unknown,unknown
emulsifiers: sunflower lecithins); lactose,unknown,unknown,unknown
papain (tenderizer),unknown,unknown,unknown
iron (ferrous sulfate),unknown,unknown,unknown
acidity regulators (e325,unknown,unknown,unknown
soy flour whole wheat flour. wheat flour,unknown,unknown,unknown
sweetened condensed skim milk,unknown,unknown,unknown
teacher's blended scotch whisky (10%),unknown,unknown,unknown
inulin (natural vegetable fiber),unknown,unknown,unknown
artificial color [red lake #40],unknown,unknown,unknown
chocolate peanuts and raisins (whole grain malted barley and corn,unknown,unknown,unknown
nibbed almonds (,unknown,unknown,unknown
sodium acid pyrophosphate),unknown,unknown,unknown
black pepper.,unknown,unknown,unknown
red coating (sugar,unknown,unknown,unknown
_vollmilchpulver_,unknown,unknown,unknown
disodium guanylante,unknown,unknown,unknown
vanillin],unknown,unknown,unknown
_crème_,unknown,unknown,unknown
artificial flavor,unknown,unknown,unknown
vitamin e,unknown,unknown,unknown
brown rice syrup,unknown,unknown,unknown
apples,unknown,unknown,unknown
alaskan pink salmon,unknown,unknown,unknown
reduced lactose whey,unknown,unknown,unknown
amaretti biscuits (sugar,unknown,unknown,unknown
sodium caseinate),unknown,unknown,unknown
organic whole rolled oats,unknown,unknown,unknown
cultures),unknown,unknown,unknown
canola and/or palm kernel),unknown,unknown,unknown
vegetal non-hydrogenated fats and oils (palm oil),unknown,unknown,unknown
ingredients: semisweet chocolate (sugar. cocoa mass,unknown,unknown,unknown
roasted red peppers,unknown,unknown,unknown
_lait_ en poudre,unknown,unknown,unknown
small red beans,unknown,unknown,unknown
blue lake 2,unknown,unknown,unknown
calcium propionate,unknown,unknown,unknown
artificial flavors. milk chocolate contains: cocoa solids 30% min.,unknown,unknown,unknown
organic sprouted wheat,unknown,unknown,unknown
defatted cocoa powder,unknown,unknown,unknown
catsup,unknown,unknown,unknown
malt powder,unknown,unknown,unknown
leavening (sodium acid pyropho,unknown,unknown,unknown
dextr,unknown,unknown,unknown
gum base,unknown,unknown,unknown
only the best: un-bleached flour,unknown,unknown,unknown
blueberries,unknown,unknown,unknown
natural vanilla extract. milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum.,unknown,unknown,unknown
enriched white corn meal (white corn meal,unknown,unknown,unknown
dried whey (milk),unknown,unknown,unknown
dairy whey.,unknown,unknown,unknown
whey,unknown,unknown,unknown
flavoring vanillin.,unknown,unknown,unknown
rice,unknown,unknown,unknown
apple cider vinegar,unknown,unknown,unknown
blue 1. orange (6 pks): sugar,unknown,unknown,unknown
lactase enzyme*,unknown,unknown,unknown
artificial color & flavor,unknown,unknown,unknown
milk powder,unknown,unknown,unknown
barley's,unknown,unknown,unknown
celery,unknown,unknown,unknown
mustard bran,unknown,unknown,unknown
soya lecithin (emulcifier),unknown,unknown,unknown
yeast soybean oil,unknown,unknown,unknown
calcium chloride,unknown,unknown,unknown
denrée alimentaire colorante (concentrés de carthame,unknown,unknown,unknown
asiago cheese (cultured part-skim milk,unknown,unknown,unknown
malted milk powder [malted barley,unknown,unknown,unknown
and/or sunflower oil),unknown,unknown,unknown
cottonseed),unknown,unknown,unknown
tripotassic citrate,unknown,unknown,unknown
whole eggs,unknown,unknown,unknown
durum wheat semolina,unknown,unknown,unknown
poudre d’_amande_ 16.5%,unknown,unknown,unknown
organic cardamom seed,unknown,unknown,unknown
brussels sprouts.,unknown,unknown,unknown
dehydrated garlic),unknown,unknown,unknown
unbleached enriched wheat flour (flour,unknown,unknown,unknown
sour culture,unknown,unknown,unknown
extractives of annatto),unknown,unknown,unknown
white corn,unknown,unknown,unknown
œufs frais,unknown,unknown,unknown
sel.,unknown,unknown,unknown
cocoa powder [processed with alkali],unknown,unknown,unknown
beta carotene (color),unknown,unknown,unknown
orange juice,unknown,unknown,unknown
glucose solids,unknown,unknown,unknown
baki,unknown,unknown,unknown
sodium citrate.,unknown,unknown,unknown
colorant : curcumine),unknown,unknown,unknown
peanut flour,unknown,unknown,unknown
sodium erythorbate,unknown,unknown,unknown
glucose fru,unknown,unknown,unknown
chickpeas,unknown,unknown,unknown
tbhq and citric acid added to protect flavor,unknown,unknown,unknown
lait entier en salé isigny aop (lait),unknown,unknown,unknown
leavening (sodium bicarbonate),unknown,unknown,unknown
romaine.,unknown,unknown,unknown
filling: organic cheese blend (ricotta cheese,unknown,unknown,unknown
whey],unknown,unknown,unknown
acacia gum,unknown,unknown,unknown
org dates,unknown,unknown,unknown
hazelnut spread: sugar,unknown,unknown,unknown
margarine,unknown,unknown,unknown
whey protein,unknown,unknown,unknown
sugar; cocoa butter,unknown,unknown,unknown
cheese blend (whey,unknown,unknown,unknown
whole milk powder,unknown,unknown,unknown
citric canola and/or palm oil,unknown,unknown,unknown
org flax seeds,unknown,unknown,unknown
dried garlic.,unknown,unknown,unknown
and propellant. (no chlorofluorocarbons),unknown,unknown,unknown
vanillin: an artificial color. breadsticks: wheat,unknown,unknown,unknown
lecithin as emulsifier (_soja_),unknown,unknown,unknown
organic cocoa butter,unknown,unknown,unknown
half and half (milk,unknown,unknown,unknown
conservateur : nitrate de potassium,unknown,unknown,unknown
peppers,unknown,unknown,unknown
gluco,unknown,unknown,unknown
corn syrup solids),unknown,unknown,unknown
sherry (4.9%),unknown,unknown,unknown
ingredients: rolled oats,unknown,unknown,unknown
glycerin (humectants),unknown,unknown,unknown
gélifiant : pectines,unknown,unknown,unknown
salt paprika,unknown,unknown,unknown
artificial and natural flavors,unknown,unknown,unknown
pineapple pulp,unknown,unknown,unknown
soya lecithin],unknown,unknown,unknown
reduce iron,unknown,unknown,unknown
0231rn,unknown,unknown,unknown
pure olive oil,unknown,unknown,unknown
organic regular rolled oats,unknown,unknown,unknown
sunflower lecithin),unknown,unknown,unknown
curcumin). sugar,unknown,unknown,unknown
tocopherols and ascorbyl palmitate [preservatives]0,unknown,unknown,unknown
organic arborio rice,unknown,unknown,unknown
sodium bicarbona,unknown,unknown,unknown
yellow 6. yellow 5,unknown,unknown,unknown
sacralose,unknown,unknown,unknown
fully hydrogenated vegetable oil [rapeseed,unknown,unknown,unknown
organic raisins,unknown,unknown,unknown
organic kamut flakes,unknown,unknown,unknown
vitamin c (as calcium ascorbate),unknown,unknown,unknown
spinach,unknown,unknown,unknown
oleoresin carrot (for color).,unknown,unknown,unknown
sodium benzoate and potassium sorbate and edta (preservatives).,unknown,unknown,unknown
non-aluminum baking powder (baking soda,unknown,unknown,unknown
sour cream (cultured cream,unknown,unknown,unknown
apricot puree,unknown,unknown,unknown
nonfa,unknown,unknown,unknown
silicon dioxide (anti-cake),unknown,unknown,unknown
de la noix de coco et des épices,unknown,unknown,unknown
soybean oils),unknown,unknown,unknown
vegetable oil [may contain corn,unknown,unknown,unknown
fully hydrogenated coconut oil,unknown,unknown,unknown
and long grain brown rices,unknown,unknown,unknown
_wheyprotein_),unknown,unknown,unknown
tomato puree (tomato paste,unknown,unknown,unknown
salt).,unknown,unknown,unknown
tomato*,unknown,unknown,unknown
leavening (sodium acid pyrophosphate,unknown,unknown,unknown
romaine hearts.,unknown,unknown,unknown
chocolate 11% (sugar,unknown,unknown,unknown
chocolate soy lecithin (emulsifier),unknown,unknown,unknown
olive),unknown,unknown,unknown
salt},unknown,unknown,unknown
des amandes grillées,unknown,unknown,unknown
organic corn starch,unknown,unknown,unknown
roasted red bell peppers,unknown,unknown,unknown
butter. caramel color),unknown,unknown,unknown
iron phosphate,unknown,unknown,unknown
arabic gum,unknown,unknown,unknown
bewaren in een luchtdichte verpakking. geproduceerd in het verenigd koninkrijk.,unknown,unknown,unknown
leavening (potassium carbonate,unknown,unknown,unknown
skim _milk_,unknown,unknown,unknown
potassium benzoate (to ensure freshness),unknown,unknown,unknown
contains less than 2% of propylene ycol,unknown,unknown,unknown
potato starch.,unknown,unknown,unknown
salt barley malt,unknown,unknown,unknown
aromas),unknown,unknown,unknown
cream cheese powder (cream cheese [cream,unknown,unknown,unknown
pyrophosphates,unknown,unknown,unknown
contains 2% or less of each of the following: whey (milk),unknown,unknown,unknown
poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (_blé_),unknown,unknown,unknown
fenugreek,unknown,unknown,unknown
yogurt flavored raisins (yogurt coating [sugar,unknown,unknown,unknown
coating (sugar,unknown,unknown,unknown
sirop de sucre inverti,unknown,unknown,unknown
white wine,unknown,unknown,unknown
aangegeven daturn en binnen een maand n- voor het opwarmen in de magnetron volledig t verenigd koninkrijk- ingredients whole milk • water beef (14%) • free range egg pasta (13%) (durum wheat semolina (contains gluten) • water • pasteurised free range egg) • pork (9%) • tomato purée • red wine (3.5%) • tomatoes (3.5%) • medium fat hard cheese (milk) • celery • carrots • onions • double cream (milk) • mozzarella cheese (milk) • mature cheddar cheese (milk) • cornflour • butter (milk) • wheatflour contains gluten (with wheatflour,unknown,unknown,unknown
potassium carbonate),unknown,unknown,unknown
modified soy protein.,unknown,unknown,unknown
glucond,unknown,unknown,unknown
modified cellulose.,unknown,unknown,unknown
hummus (chickpeas,unknown,unknown,unknown
butter milk,unknown,unknown,unknown
sugar cane syrup,unknown,unknown,unknown
concentrated black carrot juice (for color),unknown,unknown,unknown
baker's yeast extract,unknown,unknown,unknown
vegetable oil [canola and/or sunflower oil]),unknown,unknown,unknown
soybean oil (with tbhq,unknown,unknown,unknown
guar,unknown,unknown,unknown
vegetable oil [palm kernel,unknown,unknown,unknown
wheat bra,unknown,unknown,unknown
organic rolled rye,unknown,unknown,unknown
raw cane sugar.,unknown,unknown,unknown
5%) (extrait de noix de coco • eau) • yaourt britannique (lait) • huile de colza • concentré de tomate • amandes effilées grillées • purée de gingembre • purée d'ail • sel • yaourt britannique à,unknown,unknown,unknown
40 % (sucre,unknown,unknown,unknown
seasoning (maltodextrin,unknown,unknown,unknown
whole grain millet seeds,unknown,unknown,unknown
sodium steroyl lacrylate,unknown,unknown,unknown
organic peanuts,unknown,unknown,unknown
half and half (milk and cream),unknown,unknown,unknown
bicarbonate de soude • arôme.,unknown,unknown,unknown
yello,unknown,unknown,unknown
tri-calcium phosphate.,unknown,unknown,unknown
butter* (butter [cream,unknown,unknown,unknown
soybean and/or sunflower oil).,unknown,unknown,unknown
and polysorbate 80.,unknown,unknown,unknown
beta carotene [added for color],unknown,unknown,unknown
baking soda.,unknown,unknown,unknown
cocoa butter milk,unknown,unknown,unknown
cheese [granular and cheddar {pasteurized milk,unknown,unknown,unknown
rice wine,unknown,unknown,unknown
hazelnuts (tree nut),unknown,unknown,unknown
vitamin a palmitate,unknown,unknown,unknown
lactosérum en poudre,unknown,unknown,unknown
vanilla bean,unknown,unknown,unknown
artificial flavor salt,unknown,unknown,unknown
iron thiamine,unknown,unknown,unknown
shortening powder (partially hydrogenated soybean oil,unknown,unknown,unknown
wheat flour,unknown,unknown,unknown
chocolate liquor with unsweetened chocolate,unknown,unknown,unknown
whole,unknown,unknown,unknown
whole peeled,unknown,unknown,unknown
cultured nonfat milk*,unknown,unknown,unknown
sulfur dioxide as a preservative to promote color retention,unknown,unknown,unknown
contains sulfities.,unknown,unknown,unknown
pomegranate powder,unknown,unknown,unknown
steel cut oats,unknown,unknown,unknown
rebaudioside a*,unknown,unknown,unknown
thiamine mono-nitrate,unknown,unknown,unknown
vanillian-an artificial flavors).,unknown,unknown,unknown
jalapenos,unknown,unknown,unknown
calciumcarbonaat,unknown,unknown,unknown
